observation_date,Y021RC1A027NBEA
1929-01-01,0.204
1930-01-01,0.204
1931-01-01,0.152
1932-01-01,0.150
1933-01-01,0.169
1934-01-01,0.197
1935-01-01,0.226
1936-01-01,0.285
1937-01-01,0.317
1938-01-01,0.336
1939-01-01,0.324
1940-01-01,0.304
1941-01-01,0.373
1942-01-01,0.359
1943-01-01,0.437
1944-01-01,0.474
1945-01-01,0.609
1946-01-01,0.679
1947-01-01,0.618
1948-01-01,0.587
1949-01-01,0.690
1950-01-01,0.631
1951-01-01,0.450
1952-01-01,0.467
1953-01-01,0.543
1954-01-01,0.521
1955-01-01,0.631
1956-01-01,0.459
1957-01-01,0.529
1958-01-01,0.596
1959-01-01,0.663
1960-01-01,0.471
1961-01-01,0.850
1962-01-01,0.699
1963-01-01,0.836
1964-01-01,0.784
1965-01-01,0.986
1966-01-01,0.925
1967-01-01,1.011
1968-01-01,1.417
1969-01-01,1.110
1970-01-01,0.762
1971-01-01,0.885
1972-01-01,0.990
1973-01-01,0.838
1974-01-01,0.801
1975-01-01,0.822
1976-01-01,1.675
1977-01-01,1.600
1978-01-01,1.354
1979-01-01,2.348
1980-01-01,1.997
1981-01-01,2.919
1982-01-01,3.044
1983-01-01,3.424
1984-01-01,3.962
1985-01-01,3.764
1986-01-01,4.811
1987-01-01,4.932
1988-01-01,5.118
1989-01-01,6.228
1990-01-01,6.056
1991-01-01,7.315
1992-01-01,6.703
1993-01-01,8.306
1994-01-01,8.598
1995-01-01,10.548
1996-01-01,13.064
1997-01-01,12.634
1998-01-01,13.506
1999-01-01,12.831
2000-01-01,16.068
2001-01-01,15.433
2002-01-01,15.887
2003-01-01,17.710
2004-01-01,17.978
2005-01-01,18.944
2006-01-01,20.060
2007-01-01,19.958
2008-01-01,17.350
2009-01-01,15.334
2010-01-01,18.128
2011-01-01,17.161
2012-01-01,15.592
2013-01-01,15.813
2014-01-01,16.149
2015-01-01,16.725
2016-01-01,17.268
2017-01-01,17.759
2018-01-01,18.472
2019-01-01,19.052
2020-01-01,18.821
2021-01-01,19.219
2022-01-01,22.591
2023-01-01,25.385
2024-01-01,27.029
