observation_date,Y023RC1A027NBEA
1929-01-01,0.105
1930-01-01,0.090
1931-01-01,0.081
1932-01-01,0.069
1933-01-01,0.053
1934-01-01,0.063
1935-01-01,0.070
1936-01-01,0.077
1937-01-01,0.087
1938-01-01,0.089
1939-01-01,0.086
1940-01-01,0.095
1941-01-01,0.107
1942-01-01,0.120
1943-01-01,0.131
1944-01-01,0.154
1945-01-01,0.173
1946-01-01,0.140
1947-01-01,0.158
1948-01-01,0.164
1949-01-01,0.168
1950-01-01,0.175
1951-01-01,0.179
1952-01-01,0.186
1953-01-01,0.197
1954-01-01,0.202
1955-01-01,0.225
1956-01-01,0.249
1957-01-01,0.275
1958-01-01,0.300
1959-01-01,0.334
1960-01-01,0.360
1961-01-01,0.387
1962-01-01,0.416
1963-01-01,0.451
1964-01-01,0.503
1965-01-01,0.529
1966-01-01,0.602
1967-01-01,0.653
1968-01-01,0.678
1969-01-01,0.729
1970-01-01,0.770
1971-01-01,0.803
1972-01-01,0.830
1973-01-01,0.895
1974-01-01,0.960
1975-01-01,1.061
1976-01-01,1.158
1977-01-01,1.397
1978-01-01,1.555
1979-01-01,1.620
1980-01-01,1.780
1981-01-01,1.961
1982-01-01,2.171
1983-01-01,2.335
1984-01-01,2.608
1985-01-01,2.827
1986-01-01,3.020
1987-01-01,3.299
1988-01-01,3.583
1989-01-01,3.999
1990-01-01,4.235
1991-01-01,4.412
1992-01-01,4.681
1993-01-01,5.010
1994-01-01,5.253
1995-01-01,5.511
1996-01-01,5.503
1997-01-01,6.059
1998-01-01,6.485
1999-01-01,6.930
2000-01-01,7.178
2001-01-01,7.270
2002-01-01,7.592
2003-01-01,7.813
2004-01-01,8.151
2005-01-01,8.720
2006-01-01,8.643
2007-01-01,9.051
2008-01-01,9.060
2009-01-01,8.610
2010-01-01,9.823
2011-01-01,9.495
2012-01-01,9.220
2013-01-01,9.123
2014-01-01,9.216
2015-01-01,9.366
2016-01-01,9.550
2017-01-01,9.751
2018-01-01,9.713
2019-01-01,9.539
2020-01-01,9.134
2021-01-01,9.104
2022-01-01,9.690
2023-01-01,10.150
2024-01-01,10.440
