observation_date,Y025RC1A027NBEA
1929-01-01,0.029
1930-01-01,0.025
1931-01-01,0.022
1932-01-01,0.019
1933-01-01,0.017
1934-01-01,0.019
1935-01-01,0.020
1936-01-01,0.022
1937-01-01,0.023
1938-01-01,0.025
1939-01-01,0.026
1940-01-01,0.028
1941-01-01,0.031
1942-01-01,0.036
1943-01-01,0.042
1944-01-01,0.048
1945-01-01,0.053
1946-01-01,0.061
1947-01-01,0.070
1948-01-01,0.074
1949-01-01,0.078
1950-01-01,0.084
1951-01-01,0.090
1952-01-01,0.095
1953-01-01,0.105
1954-01-01,0.116
1955-01-01,0.124
1956-01-01,0.132
1957-01-01,0.141
1958-01-01,0.148
1959-01-01,0.156
1960-01-01,0.161
1961-01-01,0.167
1962-01-01,0.177
1963-01-01,0.184
1964-01-01,0.199
1965-01-01,0.209
1966-01-01,0.226
1967-01-01,0.244
1968-01-01,0.262
1969-01-01,0.279
1970-01-01,0.292
1971-01-01,0.329
1972-01-01,0.330
1973-01-01,0.352
1974-01-01,0.395
1975-01-01,0.436
1976-01-01,0.480
1977-01-01,0.532
1978-01-01,0.594
1979-01-01,0.662
1980-01-01,0.751
1981-01-01,0.844
1982-01-01,0.894
1983-01-01,0.991
1984-01-01,1.080
1985-01-01,1.186
1986-01-01,1.336
1987-01-01,1.418
1988-01-01,1.491
1989-01-01,1.478
1990-01-01,1.739
1991-01-01,1.820
1992-01-01,1.925
1993-01-01,2.225
1994-01-01,2.327
1995-01-01,2.466
1996-01-01,2.585
1997-01-01,2.685
1998-01-01,2.717
1999-01-01,2.795
2000-01-01,2.965
2001-01-01,3.038
2002-01-01,2.998
2003-01-01,3.052
2004-01-01,3.170
2005-01-01,3.273
2006-01-01,3.257
2007-01-01,3.181
2008-01-01,3.361
2009-01-01,3.208
2010-01-01,2.672
2011-01-01,2.868
2012-01-01,3.004
2013-01-01,2.977
2014-01-01,3.028
2015-01-01,3.061
2016-01-01,3.272
2017-01-01,3.562
2018-01-01,3.787
2019-01-01,3.979
2020-01-01,3.742
2021-01-01,3.754
2022-01-01,4.742
2023-01-01,5.832
2024-01-01,6.783
