year,top_spec,middle,bottom_exec,top_emp,bottom_emp,total
2005,0.2799421044354604,0.4205070332632918,0.2995508623012478,30243800.0,32362250.0,108035910.0
2009,0.29904348415222953,0.4188826071789922,0.2820739086687783,32044800.0,30226380.0,107157660.0
2014,0.32867822687845494,0.39797365520077504,0.27334811792077,38587330.0,32091490.0,117401540.0
2019,0.32259539126138054,0.38494648967073203,0.29245811906788743,41332770.0,37471410.0,128125730.0
2024,0.367599110938022,0.35971299477542235,0.27268789428655565,50120650.0,37179890.0,136345950.0
