year,mgmt_top_total,spec_component,complexity_component,exec_bottom
2005,16276960.0,11675620.0,4601340.0,14748500.0
2009,17234540.0,12423960.0,4810580.0,14765370.0
2014,22478620.0,14442970.0,8035650.0,15188110.0
2019,24244880.0,15563730.0,8681150.0,15369580.0
2024,31500010.0,20482400.0,11017610.0,16303040.0
