sector,sector_name,year,startup_rate,startup_emp_share,new_firms,new_firm_emp
22,Utilities,1995,0.060714868614330016,0.003519759469234695,372.0,2538.0
22,Utilities,1996,0.0556720994029369,0.0029163025501397484,345.0,2019.0
22,Utilities,1997,0.05320533680442564,0.0034683696915160356,327.0,2382.0
22,Utilities,1998,0.05358588311478064,0.008516151976073737,331.0,5843.0
22,Utilities,1999,0.04869339392955689,0.0030487343591605767,300.0,2015.0
22,Utilities,2000,0.08437695679398872,0.005195099055464333,539.0,3398.0
22,Utilities,2001,0.05902192242833052,0.005626820104054067,385.0,3675.0
22,Utilities,2002,0.05319148936170213,0.008538216078859455,345.0,5702.0
22,Utilities,2003,0.050270688321732405,0.002649283910156291,325.0,1759.0
22,Utilities,2004,0.05047420028934255,0.0038779632593947708,314.0,2442.0
22,Utilities,2005,0.04054714215925745,0.003221723803940963,249.0,2039.0
22,Utilities,2006,0.04378109452736319,0.002654654208265136,264.0,1643.0
22,Utilities,2007,0.046823356591994124,0.0033518929749716026,255.0,2163.0
22,Utilities,2008,0.04252172305416898,0.005291021924888238,230.0,3366.0
22,Utilities,2009,0.039303761931499155,0.0017407277545232547,210.0,1122.0
22,Utilities,2010,0.04568997410284869,0.007018273464078447,247.0,4489.0
22,Utilities,2011,0.04512801620924664,0.003834937322207915,245.0,2463.0
22,Utilities,2012,0.04577785883640343,0.002247313417737279,251.0,1444.0
22,Utilities,2013,0.04100889130829251,0.002442173329831784,226.0,1553.0
22,Utilities,2014,0.045389048991354465,0.0032523963574421417,252.0,2064.0
22,Utilities,2015,0.038815670698682074,0.0019990979870128855,215.0,1281.0
22,Utilities,2016,0.03871901574090827,0.00214220025200519,214.0,1372.0
22,Utilities,2017,0.04323342415985468,0.0019192697473168205,238.0,1238.0
22,Utilities,2018,0.0446927374301676,0.0018471745185753106,248.0,1195.0
22,Utilities,2019,0.0483956745257933,0.0024091125266054903,273.0,1545.0
22,Utilities,2020,0.052539096819539624,0.0033712719246569425,299.0,2146.0
22,Utilities,2021,0.05909322465613857,0.003858465895501466,348.0,2436.0
22,Utilities,2022,0.06434095770939609,0.004093338628352976,391.0,2649.0
22,Utilities,2023,0.07224090981899728,0.0050149329528553985,451.0,3318.0
23,Construction,1978,0.19169181491824766,0.08444205840859442,81751.0,345722.0
23,Construction,1979,0.16660495369296383,0.07155324043936917,74691.0,327559.0
23,Construction,1980,0.13756958952127865,0.05972130524830649,60517.0,264133.0
23,Construction,1981,0.11742705066058359,0.05399339754713186,49418.0,230597.0
23,Construction,1982,0.10840304162960601,0.04966863154095011,42169.0,193185.0
23,Construction,1983,0.11544951636496384,0.05552872079347976,45224.0,210722.0
23,Construction,1984,0.14259600403479777,0.06814696504246551,60222.0,292267.0
23,Construction,1985,0.14794411195648743,0.0683033959334599,65607.0,317792.0
23,Construction,1986,0.1461746213512521,0.06679069655400699,67654.0,321631.0
23,Construction,1987,0.14851326176679464,0.06727823819715006,72147.0,334104.0
23,Construction,1988,0.13542181208933227,0.06000753297746056,67168.0,304619.0
23,Construction,1989,0.1273636988976178,0.057433527761302276,64249.0,299021.0
23,Construction,1990,0.12521400445129258,0.05593202257700274,64361.0,297802.0
23,Construction,1991,0.10954957143080997,0.048557304992607304,55929.0,230908.0
23,Construction,1992,0.10964228767411775,0.049735082104248735,54666.0,224187.0
23,Construction,1993,0.11723143074006812,0.05327839479329675,59000.0,242342.0
23,Construction,1994,0.12365755776948356,0.055598679441434186,64307.0,264302.0
23,Construction,1995,0.12715529573767828,0.05531986736045575,68886.0,281138.0
23,Construction,1996,0.11660061185081255,0.05129291405963694,64489.0,267332.0
23,Construction,1997,0.11595489220331134,0.049272695505323,66106.0,271574.0
23,Construction,1998,0.10823814982597646,0.04652405295773457,62695.0,268463.0
23,Construction,1999,0.1060781055816718,0.042660239675640026,62822.0,263011.0
23,Construction,2000,0.10204812672961162,0.038677220993679436,61250.0,254586.0
23,Construction,2001,0.096331349857096,0.03638301964943935,57568.0,236813.0
23,Construction,2002,0.10064137531467371,0.04124716870210923,59408.0,263249.0
23,Construction,2003,0.10449458686027861,0.04120901983962611,62477.0,261946.0
23,Construction,2004,0.11855794705962396,0.04371042303710303,74059.0,290468.0
23,Construction,2005,0.11959807711368818,0.04590773543124522,77224.0,311573.0
23,Construction,2006,0.12416400331439394,0.04617531051942469,83915.0,339832.0
23,Construction,2007,0.10845146423987866,0.038926245691672114,74363.0,284753.0
23,Construction,2008,0.09370996611031863,0.03222079473733588,61884.0,225642.0
23,Construction,2009,0.07211066025816716,0.027656641062062403,43149.0,164351.0
23,Construction,2010,0.0700160724278305,0.029338738367503683,39163.0,156921.0
23,Construction,2011,0.07546731041814315,0.028279654207763297,40890.0,146135.0
23,Construction,2012,0.07716594590632558,0.029538611351989423,42111.0,156522.0
23,Construction,2013,0.07733482917851335,0.028006644152815514,42187.0,152760.0
23,Construction,2014,0.08095920332573925,0.0294588532164552,44811.0,167736.0
23,Construction,2015,0.08421024795719587,0.028732770633747025,47767.0,172601.0
23,Construction,2016,0.08964923805418129,0.02894105692634702,52405.0,182682.0
23,Construction,2017,0.09131334161207938,0.028740072247489756,54561.0,187714.0
23,Construction,2018,0.0924126947271,0.0297725622127226,56516.0,202552.0
23,Construction,2019,0.09390061863899421,0.029481252991241786,58817.0,207589.0
23,Construction,2020,0.09106272250712971,0.027423704264992122,57603.0,196954.0
23,Construction,2021,0.09389761629722376,0.02768818723231136,61045.0,196008.0
23,Construction,2022,0.0987730225744791,0.028969237363615216,66349.0,213433.0
23,Construction,2023,0.09611305872042068,0.027562314956049088,65799.0,209880.0
31-33,Manufacturing,1978,0.10453691498871263,0.013647879397456493,27599.0,250147.0
31-33,Manufacturing,1979,0.09332899322176694,0.01152520808430004,24371.0,220340.0
31-33,Manufacturing,1980,0.09599409545184102,0.011581255702351039,25492.0,216894.0
31-33,Manufacturing,1981,0.09538347910024278,0.014498053718266993,26087.0,263553.0
31-33,Manufacturing,1982,0.08863700930222394,0.01220301678194545,24336.0,211572.0
31-33,Manufacturing,1983,0.08510731095643957,0.01248446952568613,23416.0,202153.0
31-33,Manufacturing,1984,0.09583715359957924,0.014185608282644434,26968.0,246052.0
31-33,Manufacturing,1985,0.09614656912209889,0.01400419015809608,27441.0,241879.0
