year,mgmt_top_total,spec_component,complexity_component,exec_bottom
2005,30248990.0,19978100.0,10270890.0,32225560.0
2009,32050270.0,21294880.0,10755390.0,30057680.0
2014,38595160.0,23884900.0,14710260.0,31941180.0
2019,41342600.0,25812310.0,15530290.0,37317420.0
2024,50130580.0,31760810.0,18369770.0,37038800.0
