soc_2018_harmonized,occ_title,employment,median_wage,growth_profile_score,aioe_score
25-2058,"Special Education Teachers, Secondary School",162780.0,69590.0,2.780920230197793,
13-1161,Market Research Analysts and Marketing Specialists,861140.0,76950.0,2.7805941057456396,1.426757
19-3022,Survey Researchers,7720.0,63380.0,2.7787056429743373,1.42653
21-1012,"Educational, Guidance, and Career Counselors and Advisors",342350.0,65140.0,2.7783987622833046,0.9739287
29-1141,Registered Nurses,3282010.0,93600.0,2.775335447273472,0.2294097
25-1123,"English Language and Literature Teachers, Postsecondary",59590.0,78270.0,2.7692984787935533,1.417833
13-2011,Accountants and Auditors,1448290.0,81680.0,2.769149362836172,1.481956
17-2051,Civil Engineers,355410.0,99590.0,2.768446897517372,1.282867
25-1082,"Library Science Teachers, Postsecondary",4100.0,78630.0,2.767309489203017,1.386292
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11430.0,84290.0,2.767240458663423,1.308699
29-1241,"Ophthalmologists, Except Pediatric",12110.0,,2.766532071791109,
25-1081,"Education Teachers, Postsecondary",59090.0,72090.0,2.766233209382374,1.192988
19-5011,Occupational Health and Safety Specialists,128430.0,83910.0,2.758207029228726,
27-2022,Coaches and Scouts,250940.0,45920.0,2.7580618045089818,0.1168668
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1495580.0,66140.0,2.7564269405345536,1.038688
25-9021,Farm and Home Management Educators,10260.0,58120.0,2.7546889241139936,0.8604031
29-1223,Psychiatrists,24800.0,,2.750930733321058,
19-3041,Sociologists,2950.0,101690.0,2.7505103327810545,1.411125
19-3039,"Psychologists, All Other",17790.0,117580.0,2.747138537146426,1.389854
25-1121,"Art, Drama, and Music Teachers, Postsecondary",97890.0,80190.0,2.7440836485124263,0.7582769
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,174660.0,47520.0,2.7399571112888066,-0.5854128
43-5031,Public Safety Telecommunicators,101140.0,50730.0,2.7374798348482354,0.9074452
25-2032,"Career/Technical Education Teachers, Secondary School",104450.0,63910.0,2.736227733943817,0.3734505
13-1071,Human Resources Specialists,917460.0,72910.0,2.7338287763086355,1.36005
29-1151,Nurse Anesthetists,50350.0,223210.0,2.7310709113402103,0.2413191
21-1022,Healthcare Social Workers,185940.0,68090.0,2.730672504004283,0.9339648
29-9099,"Healthcare Practitioners and Technical Workers, All Other",36970.0,64030.0,2.7228565533360176,0.2295568
25-1021,"Computer Science Teachers, Postsecondary",36240.0,96690.0,2.715138531636943,1.277778
29-1023,Orthodontists,5150.0,,2.712755716937595,0.1616631
25-1032,"Engineering Teachers, Postsecondary",39910.0,106120.0,2.7117118632400024,1.351133
