year,beta_spec,se_spec,beta_aioe,se_aioe,beta_interact,se_interact,r2
2005,-0.8604283722050263,0.2692013098062994,0.15578668236299015,0.04286795826657875,0.36237459727951643,0.24444714064169398,0.5230942576995796
2009,-0.8356581432062749,0.26277568708401255,0.15535008166921,0.042420348767595865,0.3571517357339723,0.2371645424178035,0.5271611820146637
2014,-0.8455885722586065,0.2706796591372672,0.17481955222529488,0.0446214653728703,0.32825415156194904,0.22921594987047395,0.5544521462410603
2019,-0.6957608889920674,0.27083875820415027,0.1442558211502219,0.04225361754889574,0.30291133860528374,0.22519122747496595,0.5382270786750853
2024,-0.5220146049678084,0.2421147778113355,0.11800784404463507,0.0374301615265812,0.24253589167852166,0.21426966769633907,0.5299652240821786
