year,top_spec,middle,bottom_exec,total
2005,0.3598061052107582,0.3371836271847018,0.30301026760454003,108035910.0
2009,0.342265405944848,0.34044080469842286,0.31729378935672914,107157660.0
2014,0.33004797040992817,0.33117657570761,0.33877545388246183,117401540.0
2019,0.3549906798579801,0.31288672462588124,0.3321225955161387,128125730.0
2024,0.3380099665593294,0.29631844583575817,0.36567158760491236,136345950.0
