soc_code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
47-2111,3.25,3.38,3.12,3.12,3.38,3.0,3.0,3.25,3.0,3.25,3.0,2.38,2.38,2.88,3.0,3.12,2.25,3.0,2.75,3.12,3.0,1.0,3.25,3.12,3.5,2.0,3.0,2.88,3.38,3.0,2.88,2.12,3.0,4.0,3.0
47-2121,2.25,2.88,2.88,3.0,3.0,1.88,2.12,2.25,2.12,2.88,2.12,1.88,1.88,2.12,2.0,2.75,2.12,2.88,1.75,2.88,2.25,1.0,2.25,3.0,1.88,1.5,2.5,2.88,3.0,2.0,2.0,1.75,3.0,2.0,2.25
47-2131,2.62,3.0,2.75,2.88,3.0,2.0,2.25,1.25,2.25,2.62,2.12,2.0,2.0,2.12,2.25,2.88,2.5,3.0,1.88,2.88,2.62,1.0,2.62,2.62,2.12,1.0,2.38,2.75,3.0,2.0,2.0,1.75,2.75,2.38,2.12
47-2132,2.75,3.0,2.62,3.0,3.0,1.38,1.75,2.12,2.5,2.88,2.12,1.38,1.75,2.25,2.12,3.0,2.12,2.62,1.88,2.75,2.0,1.0,2.75,2.75,1.38,1.38,2.12,2.62,2.88,2.0,2.0,1.5,3.0,2.12,2.0
47-2141,2.38,3.0,2.25,2.88,3.0,1.38,1.88,1.0,2.0,2.88,2.12,1.88,2.0,2.25,2.12,2.88,2.12,2.12,1.62,2.25,2.12,1.0,2.25,2.88,1.62,1.5,2.5,3.0,2.5,2.12,2.12,1.5,3.0,2.12,2.12
47-2142,2.0,3.0,2.75,3.0,2.88,1.0,1.5,1.12,2.0,2.75,2.0,1.25,1.5,2.12,2.0,2.75,2.0,2.38,1.38,2.38,2.12,1.0,2.25,2.38,1.0,1.25,2.38,2.62,3.0,1.62,1.62,1.25,2.88,2.0,2.0
47-2151,2.38,3.12,2.5,3.0,3.0,2.75,2.75,2.5,2.25,2.75,2.12,1.75,1.88,2.25,2.12,2.88,2.25,3.25,1.38,3.12,2.25,1.0,3.0,2.88,2.88,1.38,2.12,2.88,2.88,2.0,2.0,1.62,2.75,2.88,2.0
47-2152,2.81,3.065,3.0,2.94,3.375,2.81,2.815,3.75,2.81,3.185,2.44,1.815,1.88,2.44,2.56,3.185,2.375,2.94,1.75,3.125,2.5,1.56,3.065,3.13,3.065,1.625,2.875,2.815,3.125,2.815,2.815,2.065,3.06,3.185,2.815
47-2161,2.75,3.0,2.75,2.88,2.75,1.5,2.12,1.75,2.5,2.75,2.62,1.88,2.25,2.62,2.0,2.88,2.25,2.75,1.88,2.88,2.25,1.0,3.0,2.75,1.62,1.12,2.88,2.75,2.88,2.12,2.12,1.75,3.0,2.12,2.12
47-2171,2.38,2.62,2.75,3.12,3.0,1.75,2.0,1.12,2.25,2.88,2.25,1.62,1.75,2.12,2.38,2.88,1.88,2.88,1.88,2.75,1.88,1.0,2.62,2.62,1.62,1.25,2.0,2.5,2.62,2.12,1.88,1.75,2.75,2.0,1.88
